name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Buffers","LockedBuffers","LockedMemory","Memory"
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/16",100,289031,2343.75,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/16",10,1.60581e+06,9375,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/16",1,6.72973e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/16",1,2.7479e+07,31250,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/32",10,423515,1562.5,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/32",10,1.71687e+06,12500,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/32",1,7.03525e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/32",1,2.81778e+07,62500,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/64",10,432466,4687.5,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/64",10,1.74154e+06,10937.5,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/64",1,6.87724e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/64",1,2.73957e+07,31250,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/128",10,410739,6250,us,,,,,,5,3,327680,524288
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/128",10,1.65506e+06,14062.5,us,,,,,,5,3,655360,1.04858e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/128",1,6.73038e+06,15625,us,,,,,,6,3,1.31072e+06,2.22822e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/128",1,2.67347e+07,31250,us,,,,,,6,3,2.62144e+06,4.45645e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/256",10,400370,3125,us,,,,,,5,3,326656,522240
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/256",10,1.60667e+06,10937.5,us,,,,,,5,3,654336,1.04653e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/256",1,6.6425e+06,0,us,,,,,,7,3,1.3097e+06,2.4873e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/256",1,2.62655e+07,46875,us,,,,,,7,3,2.62042e+06,4.97766e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/512",10,398480,1562.5,us,,,,,,5,3,323584,516096
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/512",10,1.59044e+06,10937.5,us,,,,,,5,3,651264,1.04038e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/512",1,6.34789e+06,15625,us,,,,,,8,3,1.30662e+06,2.74022e+06
"MatrixProfile<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/512",1,2.5658e+07,31250,us,,,,,,8,3,2.61734e+06,5.49274e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/16",10,1.05094e+06,4687.5,us,,,,,,6,4,458752,655360
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/16",1,3.47745e+06,15625,us,,,,,,8,4,917504,1.50733e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/16",1,1.38954e+07,15625,us,,,,,,8,4,1.83501e+06,3.01466e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/16",1,5.52894e+07,46875,us,,,,,,8,4,3.67002e+06,6.02931e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/32",10,814045,1562.5,us,,,,,,6,4,458752,655360
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/32",1,3.23696e+06,0,us,,,,,,8,4,917504,1.50733e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/32",1,1.3202e+07,31250,us,,,,,,8,4,1.83501e+06,3.01466e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/32",1,5.44673e+07,46875,us,,,,,,8,4,3.67002e+06,6.02931e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/64",10,797690,1562.5,us,,,,,,6,4,458752,655360
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/64",1,3.21798e+06,0,us,,,,,,8,4,917504,1.50733e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/64",1,1.35444e+07,46875,us,,,,,,8,4,1.83501e+06,3.01466e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/64",1,5.2188e+07,31250,us,,,,,,8,4,3.67002e+06,6.02931e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/128",10,791992,3125,us,,,,,,6,4,458752,655360
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/128",1,3.1121e+06,15625,us,,,,,,8,4,917504,1.50733e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/128",1,1.29054e+07,31250,us,,,,,,8,4,1.83501e+06,3.01466e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/128",1,5.1558e+07,46875,us,,,,,,8,4,3.67002e+06,6.02931e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/256",10,777652,0,us,,,,,,6,4,457728,653312
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/256",1,3.06964e+06,0,us,,,,,,8,4,916480,1.50426e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/256",1,1.26942e+07,15625,us,,,,,,8,4,1.83398e+06,3.01158e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/256",1,5.07126e+07,46875,us,,,,,,8,4,3.66899e+06,6.02624e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/512",10,788919,1562.5,us,,,,,,6,4,454656,647168
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/512",1,3.06522e+06,0,us,,,,,,10,4,913408,1.75718e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/512",1,1.24514e+07,15625,us,,,,,,10,4,1.83091e+06,3.52666e+06
"MatrixProfile2<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/512",1,4.90612e+07,31250,us,,,,,,10,4,3.66592e+06,7.0656e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/16",10,431697,0,us,,,,,,9,5,524288,802816
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/16",10,1.97178e+06,1562.5,us,,,,,,9,5,1.04858e+06,1.60563e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/16",1,6.97045e+06,15625,us,,,,,,11,5,2.09715e+06,3.47341e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/16",1,2.81528e+07,46875,us,,,,,,11,5,4.1943e+06,6.94682e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/32",10,418560,1562.5,us,,,,,,9,5,524288,802816
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/32",10,1.68618e+06,4687.5,us,,,,,,9,5,1.04858e+06,1.60563e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/32",1,7.00486e+06,15625,us,,,,,,11,5,2.09715e+06,3.47341e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/32",1,2.72861e+07,46875,us,,,,,,11,5,4.1943e+06,6.94682e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/64",10,408388,4687.5,us,,,,,,9,5,524288,802816
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/64",10,1.67229e+06,7812.5,us,,,,,,9,5,1.04858e+06,1.60563e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/64",1,6.75037e+06,31250,us,,,,,,11,5,2.09715e+06,3.47341e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/64",1,2.69318e+07,46875,us,,,,,,11,5,4.1943e+06,6.94682e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/128",10,406505,0,us,,,,,,9,5,524288,802816
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/128",10,1.63576e+06,9375,us,,,,,,9,5,1.04858e+06,1.60563e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/128",1,6.74544e+06,46875,us,,,,,,11,5,2.09715e+06,3.47341e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/128",1,2.65674e+07,46875,us,,,,,,11,5,4.1943e+06,6.94682e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/256",10,402117,4687.5,us,,,,,,9,5,522240,799744
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/256",10,1.64151e+06,6250,us,,,,,,9,5,1.04653e+06,1.60256e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/256",1,6.60595e+06,15625,us,,,,,,13,5,2.0951e+06,3.99258e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/256",1,2.68686e+07,46875,us,,,,,,13,5,4.19226e+06,7.99027e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/16384/512",10,404139,1562.5,us,,,,,,9,5,516096,789504
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/32768/512",10,1.62436e+06,3125,us,,,,,,9,5,1.04038e+06,1.59232e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/65536/512",1,6.55693e+06,31250,us,,,,,,14,5,2.08896e+06,4.23834e+06
"MatrixProfileLR<af::Backend::AF_BACKEND_CPU, CPU_BENCHMARKING_DEVICE>/131072/512",1,2.81879e+07,46875,us,,,,,,14,5,4.18611e+06,8.49818e+06
